Term,Abbreviation
alkalinity,ALKY
all-number calling,ANC
allocate,ALLOC
allowance,ALLOW
allowance parts list,APL
alloy,ALY
alloy-steel protective plating,ASPP
all-wheel drive,AWD
all-wheel steer,AWS
alphabetical,ALPHA
alphanumeric output,ANO
alteration,ALTRN
altered,ALTRD
alternate,ALTN
alternating current,AC
alternating current synchronous,ACS
alternation,ALT
alteration notice,AN
altered item drawing,AID
alternative,ALTNV
alternator,ALTNTR
altimeter,ALTM
altitude,ALT
altitude transmitting equipment,ALTE
aluminum,AL
aluminum conductor steel reinforced,ACSR
amalgam,AMLG
amateur television,ATV
amatol,AM
amber,AMB
amber light,AL
ambient,AMB
ambulance,AMB
amendment,AMEND
American,AMER
American Gage Design Standard,AGDS
American National Standard Code for Information Interchange,ASCII
American Standard Elevator Code,ASEC
American Steel Wire Gage,ASWG
American Wire Gage,AWG
ammeter,AMM
ammeter switch,AS
ammonia,AMNA
ammonium nitrate,AMNIT
ammunition,AMMO
ammunition hoist,AMOHST
ammunition hoist drive,AMOHSTDR
ammunition identification code,AIC
ammunition rack,AMMORK
amount,AMT
ampere,A
ampere,AMP
ampere [turn],AT
ampere demand meter,AD
ampere-hour,AMPHR
ampere-hour meter,AHM
amphibian,AMPH
amphibious,AMPH
amphibious truck,AMPHTRK
amplidyne,AMPLDN
amplidyne generator,AMPLG
amplidyne motor generator,AMPLMG
amplifier,AMPL
amplitude,AMPTD
amplitude modulation,AM
analog,ANLG
analog-to-digital,AD
analog-to-digital converter,ADC
analysis,ANAL
analytical rework program,ARP
analyze,ANALY
anchor,AHR
anchor bolt,AB
anchor light,ANLT
anchor order,AOR
anchor windlass,AWNDLS
anchored filament,ANCFIL
and so forth,ETC
anechoic,ANCH
angiocardiogram,ACG
angle order,ANLOR
angle stop valve,ASV
angular,ANLR
anhydride,ANHYD
anhydrous,ANHYD
anneal,ANL
announcing,ANCG
annular,ANLR
annunciator,ANN
anode,AD
anode [electron device],A
anodize,ANDZ
answer,ANS
ante meridiem [before noon],AM
antenna,ANT
antenna scan,SCAN
anti (comb form),A
anti tracking control,ATRC
antiair output,AAO
antiaircraft,AA
antiaircraft artillery,AAA
antiaircraft common,AAC
antiaircraft fire control,AAFC
antiaircraft self-destroying,AASD
antifreeze,ANTIFRZ
antifriction bearing,AFB
antifriction metal,AFM
antihunt,AH
anti-icing,Al
antijamming,AJ
antilogarithm,ANTILOG
antimissile missile,AMM
antimotor torpedo boat,AMTB
antimotorboat,AMB
antipersonnel,APERS
anti-repeat relay,ARR
antiseptic,ANTSPT
antisubmarine,AS
antisubmarine warfare,ASW
antitank,AT
antitank nonmetallic,ATNM
antitorpedo,ATORP
antitoxin,ANTOX
antitransmit-receive,ATR
antitransmit-receive tube,ATRT
antiunderwater warfare,AUW
apartment,APT
aperture,APERT
apothecary,APOTH
apparatus,APPAR
apparent,APRNT
appearance,APP
appendix,APPX
application,APPL
application list,AL
applied,APLD
appliqué,APLQ
approach,APRCH
approval,APPVL
approve,APPV
approved,APVD
approximate,APPROX
April,APR
aqueous,AQ
arbitrary,ARB
arc cosecant,ARCCSE
arc cosine,ARCCOS
arc cotangent,ARCCOT
arc secant,ARCSEC
arc sine,ARCSIN
arc tangent,ARCTAN
arc weld,ARCW
architectural projected window,APW
architecture,ARCH
archive,ARCH
arcing,ARNG
area drain,AD
area moving target indicator,AMTI
area weight average resolution,AWAR
area weighted average T-number,AWAT
argument programming,AP
arithmetic,ARITH
arithmetic and logic unit,ALU
arithmetic average,AA
arithmetic unit,ARITHU
armament,ARMT
armament and electronics,AE
armature,ARM
armature accelerator,AA
armature shunt,ARMSHT
arming,ARM
arming and fusing system,AFS
arming wire,AW
armor grating,AG
armor plate,ARMPL
armored,ARMD
armored cable,ARMCA
armored infantry vehicle,AIV
armored personnel carrier,APC
armored utility vehicle,AUV
armor-piercing,AP
armor-piercing capped,APC
armor-piercing capped incendiary,APCI
armor-piercing capped incendiary with tracer,APCIT
armor-piercing incendiary,API
armor-piercing incendiary with tracer,APIT
armor-piercing with tracer,APT
ArmyNavy,AN
Army-Navy British,ANB
Army-Navy Commercial,ANC
Army-Navy Design,AND
Army-Navy-Air Force,ANAF
aromatic,AROM
arrange,ARR
array processing instruction set,APIS
arrester,ARSR
arresting [gear or hook],ARG
arsine,ARS
article,ART
articulated,ARTCLD
artificial,ARTF
artificial intelligence,AI
artificial neutron,ARTRON
artillery,ARTY
as drawn,AD
as required,AR
as soon as possible,ASAP
asbestos,ASB
asbestos cement,AC
asbestos millboard,AMB
asbestos roof shingles,ARS
asbestos-cement board,ACB
asbestos-covered metal,ACM
asphalt,ASPH
asphalt roof shingles,ASPHRS
asphalt-plank floor,ASPHPF
asphalt-tile base,ATB
asphalt-tile floor,ATF
aspirator,ASPRTR
assemble,ASSEM
assemble [auto manufacturing],ASM
assembly,ASSY
assembly and repair,AR
assembly jig,AJ
assign,ASGN
assignment,ASGMT
assistance,ASSTN
assistant,ASST
assisted takeoff system,ATOS
associate,ASSOC
association,ASSN
assort,ASRT
astern,ASTN
astigmatism,ASTIG
astragal,A
astronomical time switch,ATS
astronomical unit,AU
astrophysics,ASTROPHYS
asymmetric,ASYM
asymptote,ASYMP
at a later date,ALD
athwartship,ATH
atmosphere,ATM
atomic (comb form),AT
atomic explosion,ATXPL
atomic hydrogen weld,ATW
atomic weight,ATWT
atomizing,ATMG
attach,ATCH
attachment,ATCH
attack,ATCK
attention,ATTN
attenuation,ATTEN
attenuator,ATTEN
attitude,ATTD
attorney,ATTY
audible,AUD
audio,AUD
audio frequency,AF
auditor,AUDTR
augment,AGMT
August,AUG
authorize,AUTH
auto reverse fan,ARF
automatic,AUTO
automatic bandwidth control,ABWC
automatic bass compensation,ABSC
automatic bias compensation,ABCP
automatic brightness control,ABC
automatic check valve,AUTOCV
automatic checkout equipment,ACE
automatic circuit exchange,ACKTX
automatic clutter eliminator,ACLE
automatic data processing,ADP
automatic digital network,AUTODIN
automatic direction finder,ADF
automatic door seal,ADS
automatic electronic traction aid,AETA
automatic flight control equipment,AFCE
automatic flight control system,AFCS
automatic frequency control,AFC
automatic gain control,AGC
automatic ground-controlled approach,AGCA
automatic ground-controlled landing,AGCL
automatic instrument landing approach system,AILAS
automatic instrument landing system,AILS
automatic lean,AUTOLEAN
automatic level control,ALC
automatic message accounting,AMA
automatic meteorological observing station,AMOS
automatic mixture control,AMC
automatic monitoring,AUM
automatic moving-target indicator,AMTI
automatic noise limiter,ANL
automatic number identification,ANI
automatic output control,AOC
automatic overload,AUTOOVLD
automatic overload circuit,AOVC
automatic phase control,APC
automatic phase lock,APL
automatic pistol,AUTOP
automatic reclosing,AUTORECL
automatic rich,AUTORICH
automatic sensitivity control,ASC
automatic starter,AUTOSTRT
automatic starting,AUTOSTRTG
automatic stop and check valve,AUTOSCV
automatic terrain recognition and navigation,ATRAN
automatic test equipment,ATE
automatic transformer,AXFMR
automatic voice network,AUTOVON
automatic volume control,AVC
automatic volume expansion,AVE
automatic zero set,AZS
automation,AUTOMN
automobile,AUTO
automotive,AUTOM
automotive industry action group,AIAG
automn,auto
autotransformer,AUTOXFMR
auxiliary,AUX
auxiliary equipment manufacturer,AEM
auxiliary power unit,APU
auxiliary register,AUXR
auxiliary switch,ASW
auxiliary switch [breaker] normally closed,ASC
auxiliary switch [breaker] normally open,ASO
availability,AVLBL
available,AVAIL
avenue,AVE
average,AVG
average daily traffic,ADT
average diameter,AVGDIA
average efficiency index,AEI
average outgoing quality,AOQ
average outgoing quality limit,AOQL
average picture level,AVPL
average sample number,ASN
average total inspection,ATI
aviation,AVN
aviation electronics,AVIONICS
aviation gas turbine,AGT
avoirdupois,AVDP
awning,AWN
axial flow,AXFL
axial pitch,AXP
axial pressure angle,APA
azimuth,AZ
azimuth and elevation,AZEL
azimuth and range,AZRNG
back end,BE
back focal distance,BFD
back focal length,BFL
back gear,BG
back of board,BB
back pressure,BP
back shelf,BKSLF
back to back,BB
back view,BV
back connected,BC
backface,BF
backfeed,BF
background,BKGD
backlash,BL
backlash allowance,BA
back-pressure control,BPC
backrest,BKRST
backshell,BKSHL
backup,BKUP
backward,BKWD
backward-wave magnetron,BWM
backward-wave oscillator,BWO
backward-wave power amplifier,BWPA
backwater valve,BWV
bacteriological,BACT
baffle,BAF
baggage,BAG
bail out,BO
bakery,BAK
balance,BAL
balanced line driver,BLD
balanced voltage,BALV
balancing coil,BALCL
balancing rheostat,BALRHEO
balancing set,BALS
ball bearing,BBRG
ball stop,BSP
ballast,BLST
ballistic,BAL
Ballistic Missile Early Warning System,BMEWS
balloon,B
band display,BNDDIS
band elimination,BDELIM
band filter cutoff,BFCO
bandpass,BP
bandstop filter,BSFL
bandwidth,BW
barbette,BARB
"barge, cargo",BC
"barge, knockdown",BK
"barge, training",BT
barium crown,BC
barometer,BARO
barracks,BKS
barred,BRRD
barrel tile roof,BTR
barrier,BARR
barrier coat,BC
barrier ready light system,BRLS
barrier up indicator system,BUIS
"barrier, greaseproof",BGP
"barrier, moisture-vaporproof",BMVP
"barrier, waterproof",BWP
barring,BRRG
baryta light fling,BLF
base [electron device],B
base and increment,B&I
base band,BB
base detonating,BD
base detonating fuze,BDF
"base detonating, self-destroying",BDSD
base diameter,BDIA
base ejection,BE
base fuze,BF
base helix angle,BHA
base ignition,BI
base line,BL
base percussion,BP
base pitch,BP
base plate,BP
basement,BSMT
basic,BSC
basic contour line,BCL
basic impulse insulation level,BIL
basic network,BASNET
basket,BSKT
batch mixer,BMXR
bathythermograph,BT
battalion,BN
batten,BATT
batter,BAT
battery,BTRY
battery [electrical],BAT
battery charger,BATCHG
battery discharge indicator,BDI
battle,BAT
battle dressing,BD
bayonet,BAY
bayonet candelabra,BAYC
bayonet candelabra (BAYC),BAYCAND
"bayonet candelabra, double contact",BAYCANDDC
"bayonet candelabra, single contact",BAYCANDSC
bayonet skirted,BAYSK
beacon,BCN
beam steering,BMSTRG
beams and stringers,BS
beamwidth,BMW
bearing,BRG
bearing deviation indicator,BDI
bearing procurement specification,BPS
beat frequency,BF
beat-frequency oscillator,BFO
becket,BCKT
bedding,BDNG
bedpan,BDPN
bedroom,BR
before,BFR
before top dead center,BTDC
beginner's all-purpose symbolic instruction code [computers],BASIC
bell alarm switch,BASW
bell and bell,BB
bell and flange,BF
bell and spigot,BS
bell cord,BC
bell crank,BELCRK
bell end,BE
belling,BLNG
bellmouth,BLMTH
bellows,BLWS
below,BLW
belt work line,BWL
bench,BNCH
bench mark,BM
benchboard,BNCHBD
bend down,BDN
bend line,BL
bend radius,BR
bend up,BUP
bending,BNG
bent,BT
berth,BTH
berthing,BERTH
Bessemer,BESS
between,BETW
between centers,BC
between perpendiculars,BP
bevel,BEV
beveled wood siding,BWS
beverage,BVGE
biconditional,BICOND
biconvex,BCVX
bicycle,BCL
bidirectional,BIDIR
bill of exchange,BE
bill of lading,BL
bill of material,BM
bill of sale,BS
billet,BL
billet steel,BLSTL
bimetallic,BMTLC
binary,BIN
binary coded decimal,BCD
binary coded information,BCI
binary counter,BC
binary decoder,BD
binary digit,BIT
binary divide,BDV
binary subtract,BS
binder,BDR
binding,BDG
binding head,BDGH
binnacle,BNCL
binocular B,NCLR
binomial expansion,BINOMEXP
bioastronautics orbiting space station,BOSS
biochemical oxygen demand,BOD
biological,BIOL
biological defense,BIODEF
biological electronics,BIONICS
biological warfare,BW
biology,BIOL
biology (comb form),BIO
biparting doors,BIPD
bipost,BPT
Birmingham Wire Gage,BWG
bistaple,BSTL
bits per inch,BPI
bits per second,BPS
bituminous,BITUM
black,BK
black,BLK
black and white,BW
black and white prints,BW
black enamel slate,BES
black iron,BI
black oil finish slate,BOFS
black powder,BP
black scale,BS
black varnish cambric [insul],BVC
blackboard,BKD
blacken,BLKN
blackening,BLKNG
blackout,BO
blackout door,BOD
blackout window,BOW
blacksmith,BSMITH
blade,BL
blank,BLK
blanket,BLKT
blanking,BLKG
blanking die,BLKGD
blast,BL
blasting powder,BLSTGPWD
bleed,BL
bleeder,BLDR
blend,BLN
blinder,BLD
block,BLK
blocking,BLKG
blocking oscillator,BO
blow off,BO
blowdown,BLWDN
blower,BLO
blowout,BLWT
blowout coil,BOC
blowtorch,BLWT
blue,BL
blue,BLU
blue indicating light,BIL
blue stern light,BSTLT
blue tool steel,BTS
blueprint,BP
board,BD
board foot [measure],FBM
Board on Standardization and Testing,BST
boatswain,BOSN
bobbin,BOB
body-bound bolts,BBB
body-on-chassis,BOC
boiler,BLR
boiler feed,BF
boiler feed compound tank,BFCT
boiler feed pump,BFP
boiler feedwater,BFW
boiler house,BH
boiler pressure,BOPRESS
boiler water,BOWR
boilermaker,BMKR
boiling,BOG
boiling point,BP
boldface type,BF
bolster,BOLS
bolt circle,BC
bolted bonnet,BLTBT
bolted on base,BOBS
bolted plate,BP
bomb nose fuze,BNF
bomb service,BS
bomb tail fuze,BTF
bomb testing device,BTD
bombardier,BMBDR
bombardment [projectile],BBT
bomber [aircraft],B
bombsight,BOMST
bonded,BND
bonderize,BNDZ
bonding,BNDG
boneless,BNLS
bonnet,BNT
bookcase,BC
book-form drawing,BFD
bookrack,BR
boost rocket,BSTRKT
booster,BSTR
bootstrap,BTST
borescope,BS
boresight,BRSIT
borosilicate crown,BSC
borrowed light,BLT
both faces,BF
both sides,BS
both ways,BW
bottle,BTL
bottom,BOT
bottom chord,BC
bottom face,BF
bottom layer,BL
bottom lead left,BTLL
bottom lead right,BTLR
bottoming,BOTMG
boundary,BDY
bow buoyancy,BBYCY
bow designation light,BDLT
bow diving,BDVG
bow door,BDO
bow light,BWLT
bow plane,BPLA
bowstring,BWSTRN
box fin,BXF
boxcar detector,BXDT
brace,BRC
bracket,BRKT
braid,BRD
braided,BRD
braided wire,BW
brake,BK
brake air pressure,BKAIRPR
brake band,BRKBD
brake horsepower,BKHP
brake mean effective pressure,BMEP
brake oil pressure,BKOILPR
brake oil temperature,BKOILTEMP
brake saver,BKSVR
branch,BR
brass,BRS
brass divider strip,BDS
braze,BRZ
brazier,BRAZ
brazier head,BRAZH
brazing,BRZG
bread wrapping and sealing machine,BWSM
breadth or beam of ship,B
break,BRK
break before make,BBM
break jaw,BJ
breakdown,BKDN
breakdown diode,BKDNDIO
breaker,BRKR
breaker end,BE
breaking,BRKG
breakout,BKO
breathe,BRTH
breather,BRTHR
breathing apparatus,BA
breech loading,BL
breech mechanism,BM
brick,BRK
bridge,BRDG
bridge cutoff,BCO
bright,BRT
brightness,BRT
brilliance,BRIL
Brinell hardness,HBW
Brinell hardness,BH
Brinell hardness number,BHN
British Standards Institution,BSI
British Standard Wire Gage,SWG
British thermal unit,BTU
broach,BRCH
broadband,BRDB
broadcast,BC
bronze,BRZ
broom closet,BCL
brown,BR
brown,BRN
Brown & Sharpe Wire Gage,BS
Browning aircraft machine gun,BAMG
Browning automatic machine rifle,BAR
Browning machine gun,BMG
brush,BR
brush holder,BRH
bubble memory,BUBMEM
bucket,BKT
buckram,BUCK
buffer,BFR
buffer amplifier,BA
buffer register,BR
buffing,BFG
building,BLDG
building line,BL
built-in,BLTIN
built-in test,BIT
bulk [substrate] [electron device],BU
bulkhead,BHD
bulldozer,BDZR
bulletin,BULL
bulletin board,BB
bulletproof,BPRF
bullnose,BN
bumper,BMPR
bunching,BCHG
bunching black,BB
bundle,BDL
buoy messenger,BMSS
buoyancy,B
buoyant,BYNT
bureau,BU
burlap,BRLP
burner,BNR
burning,BRNG
burnish,BNSH
burster,BRSTR
bursting strength,BRSTSTR
bus selector,BSLR
bus tie,BT
bus transfer,BTR
bush transfer,BTR
bushel,BU
bushing,BSHG
bushing current transformer,BCT
bushing potential device,BPD
business,BUS
business input-output rerun,BIOR
butane,BUTN
butcher,BTCR
but-live,BL
butt line,BL
butt weld,BTWLD
butterfly,BTFL
buttock line,BL
button,BTN
button head,BTNHD
button head cap screw,BHCS
buzzer,BUZ
bypass,BYP
bypass closing,BYPC
bypass opening,BYPO
cable control,CC
cable fuzing [firing],CF
cable television,CATV
cable termination equipment,CTE
calculate,CALC
calibration,CAL
cam drive,CAMDR
cam timing contact,CTC
camera control unit,CCU
camshaft,CAMSH
canceled,CANC
canceled transmission,CANTRAN
candela,CD
candlepower,CP
canister,CSTR
canopy,CAN.
capable,CPBL
capacitance,CAP
capacitor diode,CD
capacitor diode gate,CDG
capacity,CAP.
carbon film resistor,CFR
carbon free depth,CFD
carbon steel,CS
carburetor,CARB
carburize,CARBZ
card cage,CRCG
card per minute,CPM
card random access memory,CRAM
card-to-tape tape,CTT
carriage,CRG
carrier,CARR
carrier elimination filter,CEF
carrier frequency,CF
carrier frequency shift,CFS
carrier operated relay,COR
carrier supply,CS
carrier to noise,CN
carrier wave,CW
carrying,CRYG
cartographer,CRTOG
carton,CTN
cartridge,CRTG
cartridge storage case,CSC
casing,CSG
cast steel,CS
cast stone,CS
castellate,CSTL
casting,CSTG
catalyst,CTLST
category,CAT
cathode [electron device],K
cathode-ray oscilloscope,CRO
cathode-ray tube,CRT
catwalk,CTWALK
caution,CAUT
ceiling and visibility unlimited,CAVU
celestial,CEL
cellulose acetate [insul],L
Celsius,C
center,CTR
center ball,CB
center ball hydraulic tilt,CBHT
center ball manual tilt,CBMT
center flange,CFLG
center frequency,CTRF
center frequency modulation,CFM
center frequency stabilization,CFS
center line,CL
center line average,CLA
center line vertical keel,CVK
center section,CS
center shift,CSHIFT
center tap,CT
center to center,CTOC
centering,CTRG
centipoise,CP
central,CTL
central command decoder,CCD
central logic unit,CLU
central processing element,CPE
central processing unit,CPU
central timing equipment,CTE
central timing unit,CTU
centralized traffic control,CTC
centrifugal,CNTFG
centrifuge,CNTFG
ceramic tile,CT
ceramic tile base,CTB
ceramic tile floor,CTF
certification,CERT
chamber,CHAMB
chamfer,CHAM
change,CHG
change in design,CID
change point,CP
change request,CR
changeable type-plate style,CTPS
channel,CHNL
character,CHAR
charge coupled device,CCD
charging,CHRG
chassis,CHAS
check,CHK
check value,CV
checkout and automatic monitoring,CAM
chemical biological munitions,CBM
chemical warfare,CW
chloropicrin,PS
chrome vanadium,CRVAN
chrome-tanned leather,CRTANLTHR
chromium plate,CRPL
chronometer,CRNMTR
chuck,CHUK
circle,CIRC
circuit,CKT
circuit card assembly,CCA
circuit master,CM
circuit requirement table,CRT
circuit switching magnetic tape,CSMT
circuit switching unit,CSU
circular,CIRC
circular pitch,CP
circular polarization,CP
circular probable error,CPE
circulate,CIRC
circulating water pump,CWP
citizen band,CB
civil,CVL
clam shell,CLMSH
clarification,CLAR
class,CL
classification,CLASS.
clean exhaust induction,CEI
clean gas induction,CGI
cleaner,CLNR
clear air turbulence,CAT
clear write condition,CWC
clearance,CLRN
clock pulse control,CPC
clockwise,CW
close packed,CP
close support,CS
close to shoulder,CTS
close type control circuit contact,CTCCC
closed loop,CL
closed loop approach control,CLAC
close-in support,CIS
cluster bomb unit,CBU
clutch,CL
coarse,CRS
coated,CTD
coating,CTG
code identification number,CIN
coded automatic gain control,CAGC
coded biphase,COBI
coded pulse anti-clutter system,CPACS
coder sequential pulse,CSP
coherent master oscillator,COMO
coherent phase shift keying,CPSK
coil sketch,CS
cold drawn,CD
cold drawn copper,CDC
cold finished,CF
cold finished surface,CFS
cold planer,CP
cold rolled,CR
cold side,CSD
cold water,CW
cold weather,CW
cold-rolled steel,CRS
collector,COLL
color code,CC
column,COL
combat ready,CR
combat vehicle,CV
combination,CMB
combination of adopted items,COAI
combined,CMBD
combined distribution frame,CDF
combiner,CMB
combining,COMB
combustion,COMB.
command and service module,CSM
command control number,CCN
command data acquisition,CDA
command destruct receiver,CDR
command destruct transmitter,CDT
command module,CM
command pulse output,CPO
command radio link,CORAL
commercial,COML
commercial and government entity (code),CAGE
commercial item description,CID
commercial off the shelf,COTS
commission,COMSN
common digitizer,CD
common steel [projectile],CS
communication,COM
communication line terminator,COLT
communications access device,CAD
communications and data,C&D
communications and navigation,CN
communications automatic processing equipment,CAPE
communications electronics meteorological,CEM
communications intelligence,COMINT
communications jamming,COMJAM
communications moon relay,CMR
communications need,COMNEED
communications network,COMNET
communications satellite,COMSAT
communications satellite relay,CSR
communications support element,CSE
communications zone indicator,COZI
community automatic exchange,CAX
compact common rail,CCR
compacted graphite,CG
compactor,CMPT
companion,CO
company,CO
comparator buffer,CB
compartment,COMPT
compatible single sideband,CSSB
compensated avalanche diode,CAD
compensating,COMP
compensator,COMP
compiler,COMP
complementary semiconductor controlled,CSCR
complementary transistor logic,CTL
complementary unijunction transistor,CUJT
complete,COMPL
complete with,CW
component,CMPNT
component board,CB
component board assembly,CBA
component change control,CCC
component metal parts,CMP
component repair,CR
composition,COMPSN
compressed natural gas,CNG
compression,CPRSN
compressor,COMPR
computed air release point,CARP
computer access device,CAD
computer access device input,CADI
computer access device output,CADO
computer aided design,CAD
computer aided earthmoving system,CAES
computer aided manufacturing,CAM
computer aided product technology,CAPT
computer aided test equipment,CATE
computer automated support equipment,CASE
computer data word,CDW
computer direct to telegraph,CODIT
computer indicator,CI
computer numerical control,CNC
computer process control,CPC
computerized tomography,CT
concentric,CONC
concept formulation,CF
concession,CON
concrete splash block,CSB
concurrent,CNCR
condensation trail,CONTRAIL
condenser,COND
condition,COND
conditioner,CONDR
conducted susceptibility,CS
conductor,COND
conference,CONF
configuration,CONFIG
configuration item,CI
configuration management,CM
configuration memory operating system,CMOS
confine,CONF
conformance,CONF
conical,CONL
conical scan,CONSCAN
conical scan on receive only,CSORO
connecting,CONN
connection,CONN
connector,CONN
consecutive,CONSEC
console,CSL
Consolidated Cryptologic Program,CCP
constant current transformer,CCT
constant level speech,CLS
constant output amplifier,COA
constant speed drive,CSD
contact,CONT
contact lost,CL
contact potential difference,CPD
contactor,CNTOR
container,CNTNR
container handler,CH
contamination,CTMN
continental horsepower,CONTHP
continental polar air mass,CPAM
continental tropical air mass,CTAM
continued,CONT
continued,CONTD
continuous current monitoring device,CCMD
continuous rod,CR
continuous wave,CW
continuous wave acquisition radar,CWAR
concentric,CONC
concept formulation,CF
concession,CON
concrete splash block,CSB
concurrent,CNCR
condensation trail,CONTRAIL
continuous wave frequency modulated,CWFM
continuous wave illuminator,CWI
continuous wave intermediate frequency,CWIF
continuously variable,CV
contour,CTR
contract data requirements list,CDRL
contract end item,CEI
contractor furnished aircraft equipment,CFAE
contrast,CTRS
control,CONT
control [computers],CTRL
control area network,CAN.
control point,CP
control power switch,CSW
control read-only memory,CROM
control shift register,CSR
control stick steering,CSS
control switch,CS
control transmitter,CX
control wheel steering,CWS
controllable radar target simulator,CRTS
controlled blip scan,CBS
controlled carrier modulation,CCM
controlled current feedback transformer,CCFT
controlled radius,CR
controlled rectifier,CR
controller,CONT
controls and displays,CD
convection,CONVN
convector,CONVR
conventional,CVNTL
convergence,CONVG
conversion,CVRSN
converter,CONV
converter retarder oil temperature,CROT
convex,CVX
conveyor,CNVR
coolant,COOL.
coolant flow,COOLFLOW
coolant temperature,COOLTEMP
cooler,CLR
cooling,CLG
cooling system,CS
coordinate,COORD
coordinate system,CSYS
coordinated universal time,UTC
copper oxide,CUO
coppersmith,CSMITH
copyright,COPY.
core memory,CM
core memory driver,CMD
core shift,CS
core shift driver,CSD
core storage element,CSE
core transistor logic,CTL
corner,COR
corporate,CORP
corporation,CORP
correction,CORR
corrective maintenance,CM
correlated orientation tracking and ranging,COTAR
correlation display analyzing and recording,CODAR
correlation radar,CORAD
correlation radio link,CORAL
corrosion,CRSN
corrosion resistant steel,CRES
corrosive,CRSV
corrugated wire glass,CWG
cosecant,CSC
count,CT
count per minute,CTM
count per second,CTS
counter,CTR
counter bore,CBORE
counter drill,CDRILL
counter intelligence,CI
counter voltage,CV
counterbalance,CB
counterclockwise,CCW
counterfire,CF
counterinsurgency,COIN
countermeasures and deception,CMD
countermeasures,CMH
homing countershaft,CTSHFT
countersink,CSK
countersink other,CSKO
